date,value,series_id
2025-05-19,5963.6,SP500
2025-05-20,5940.46,SP500
2025-05-21,5844.61,SP500
2025-05-22,5842.01,SP500
2025-05-23,5802.82,SP500
2025-05-26,.,SP500
2025-05-27,5921.54,SP500
2025-05-28,5888.55,SP500
2025-05-29,5912.17,SP500
2025-05-30,5911.69,SP500
2025-06-02,5935.94,SP500
2025-06-03,5970.37,SP500
2025-06-04,5970.81,SP500
2025-06-05,5939.3,SP500
2025-06-06,6000.36,SP500
2025-06-09,6005.88,SP500
2025-06-10,6038.81,SP500
2025-06-11,6022.24,SP500
2025-06-12,6045.26,SP500
2025-06-13,5976.97,SP500
2025-06-16,6033.11,SP500
2025-06-17,5982.72,SP500
2025-06-18,5980.87,SP500
2025-06-19,.,SP500
2025-06-20,5967.84,SP500
2025-06-23,6025.17,SP500
2025-06-24,6092.18,SP500
2025-06-25,6092.16,SP500
2025-06-26,6141.02,SP500
2025-06-27,6173.07,SP500
2025-06-30,6204.95,SP500
2025-07-01,6198.01,SP500
2025-07-02,6227.42,SP500
2025-07-03,6279.35,SP500
2025-07-04,.,SP500
2025-07-07,6229.98,SP500
2025-07-08,6225.52,SP500
2025-07-09,6263.26,SP500
2025-07-10,6280.46,SP500
2025-07-11,6259.75,SP500
2025-07-14,6268.56,SP500
2025-07-15,6243.76,SP500
2025-07-16,6263.7,SP500
2025-07-17,6297.36,SP500
2025-07-18,6296.79,SP500
2025-07-21,6305.6,SP500
2025-07-22,6309.62,SP500
2025-07-23,6358.91,SP500
2025-07-24,6363.35,SP500
2025-07-25,6388.64,SP500
2025-07-28,6389.77,SP500
2025-07-29,6370.86,SP500
2025-07-30,6362.9,SP500
2025-07-31,6339.39,SP500
2025-08-01,6238.01,SP500
2025-08-04,6329.94,SP500
2025-08-05,6299.19,SP500
2025-08-06,6345.06,SP500
2025-08-07,6340.0,SP500
2025-08-08,6389.45,SP500
2025-08-11,6373.45,SP500
2025-08-12,6445.76,SP500
2025-08-13,6466.58,SP500
2025-08-14,6468.54,SP500
2025-08-15,6449.8,SP500
2025-08-18,6449.15,SP500
2025-08-19,6411.37,SP500
2025-08-20,6395.78,SP500
2025-08-21,6370.17,SP500
2025-08-22,6466.91,SP500
2025-08-25,6439.32,SP500
2025-08-26,6465.94,SP500
2025-08-27,6481.4,SP500
2025-08-28,6501.86,SP500
2025-08-29,6460.26,SP500
2025-09-01,.,SP500
2025-09-02,6415.54,SP500
2025-09-03,6448.26,SP500
2025-09-04,6502.08,SP500
2025-09-05,6481.5,SP500
2025-09-08,6495.15,SP500
2025-09-09,6512.61,SP500
2025-09-10,6532.04,SP500
2025-09-11,6587.47,SP500
2025-09-12,6584.29,SP500
