meeting_date,asof_date,exp_rate_bp,var_bp2,p_tail_cut,p_tail_hike,top1_mid_bp,top1_prob,top2_mid_bp,top2_prob,days_to_meeting
2025-12-10,2025-03-27,373.92858857141147,810.8476718050956,0.1987798012201988,0.1800958199041801,362.5,0.3115876884123116,387.5,0.30953669046330956,258
2025-12-10,2025-03-28,363.428525,818.357216324375,0.320394,0.09754600000000001,362.5,0.337489,387.5,0.244571,257
2025-12-10,2025-03-31,363.42850000000004,797.87913775,0.31957,0.09517,362.5,0.341965,387.5,0.243295,254
2025-12-10,2025-04-01,359.23212173212175,811.5486688540262,0.11001711001711002,0.2867092867092867,362.5,0.3360763360763361,337.5,0.2671972671972672,253
2025-12-10,2025-04-02,363.982125,798.476430484375,0.314119,0.099489,362.5,0.340506,387.5,0.245886,252
2025-12-10,2025-04-03,346.99997499999995,754.977349999375,0.213413,0.151246,337.5,0.344047,362.5,0.291294,251
2025-12-10,2025-04-04,338.25000000000006,660.39625,0.30901200000000006,0.073844,337.5,0.37515000000000004,312.5,0.25100700000000004,250
2025-12-10,2025-04-07,341.535720964279,683.044131967303,0.26632773367226625,0.097010902989097,337.5,0.36451863548136443,362.5,0.2721427278572721,247
2025-12-10,2025-04-08,337.9821254821254,727.3451575970878,0.31605931605931603,0.08037708037708037,337.5,0.35747235747235745,362.5,0.24609124609124608,246
2025-12-10,2025-04-09,362.625,832.309375,0.332432,0.09486900000000001,362.5,0.334823,337.5,0.240675,245
2025-12-10,2025-04-10,350.6785368214631,772.3039712675351,0.1755228244771755,0.18639281360718635,337.5,0.3223526776473223,362.5,0.3157316842683157,244
2025-12-10,2025-04-11,359.42855000000003,811.5374448975001,0.10885299999999999,0.289396,362.5,0.336323,337.5,0.265428,243
2025-12-10,2025-04-14,349.5893120893121,777.4457068043862,0.18906318906318909,0.17767317767317767,337.5,0.32996532996532996,362.5,0.3032983032983033,240
2025-12-10,2025-04-15,350.8392883392884,783.2912228291623,0.17740017740017738,0.1904461904461904,337.5,0.3237163237163237,362.5,0.30843730843730843,239
