date,value,value
2025-02-27,258.5945,value
2025-02-28,258.55974999999995,value
2025-03-01,258.525,value
2025-03-02,258.52070967741935,value
2025-03-03,258.51641935483866,value
2025-03-04,258.51212903225803,value
2025-03-05,258.5078387096774,value
2025-03-06,258.50354838709677,value
2025-03-07,258.4992580645161,value
2025-03-08,258.49496774193545,value
2025-03-09,258.4906774193548,value
2025-03-10,258.4863870967742,value
2025-03-11,258.4820967741935,value
2025-03-12,258.4778064516129,value
2025-03-13,258.47351612903225,value
2025-03-14,258.4692258064516,value
2025-03-15,258.46493548387093,value
2025-03-16,258.4606451612903,value
2025-03-17,258.4563548387097,value
2025-03-18,258.45206451612904,value
2025-03-19,258.44777419354836,value
2025-03-20,258.4434838709677,value
2025-03-21,258.4391935483871,value
2025-03-22,258.43490322580647,value
2025-03-23,258.4306129032258,value
2025-03-24,258.42632258064515,value
2025-03-25,258.4220322580645,value
2025-03-26,258.4177419354839,value
2025-03-27,258.4134516129032,value
2025-03-28,258.4091612903226,value
2025-03-29,258.40487096774194,value
2025-03-30,258.4005806451613,value
2025-03-31,258.3962903225806,value
2025-04-01,258.392,value
2025-04-02,258.4003333333333,value
2025-04-03,258.40866666666665,value
2025-04-04,258.417,value
2025-04-05,258.42533333333336,value
2025-04-06,258.4336666666667,value
2025-04-07,258.442,value
2025-04-08,258.45033333333333,value
2025-04-09,258.45866666666666,value
2025-04-10,258.467,value
2025-04-11,258.4753333333333,value
2025-04-12,258.48366666666664,value
2025-04-13,258.492,value
2025-04-14,258.50033333333334,value
2025-04-15,258.50866666666667,value
2025-04-16,258.517,value
2025-04-17,258.5253333333333,value
2025-04-18,258.53366666666665,value
2025-04-19,258.542,value
2025-04-20,258.55033333333336,value
2025-04-21,258.5586666666667,value
2025-04-22,258.567,value
2025-04-23,258.57533333333333,value
2025-04-24,258.58366666666666,value
2025-04-25,258.592,value
2025-04-26,258.6003333333333,value
2025-04-27,258.60866666666664,value
2025-04-28,258.617,value
2025-04-29,258.62533333333334,value
2025-04-30,258.63366666666667,value
2025-05-01,258.642,value
2025-05-02,258.708064516129,value
2025-05-03,258.7741290322581,value
2025-05-04,258.8401935483871,value
2025-05-05,258.9062580645161,value
2025-05-06,258.97232258064514,value
2025-05-07,259.0383870967742,value
2025-05-08,259.10445161290323,value
2025-05-09,259.17051612903225,value
2025-05-10,259.23658064516127,value
2025-05-11,259.30264516129034,value
2025-05-12,259.36870967741936,value
2025-05-13,259.4347741935484,value
2025-05-14,259.5008387096774,value
2025-05-15,259.56690322580647,value
2025-05-16,259.6329677419355,value
2025-05-17,259.6990322580645,value
2025-05-18,259.7650967741935,value
2025-05-19,259.8311612903226,value
2025-05-20,259.8972258064516,value
2025-05-21,259.96329032258063,value
2025-05-22,260.02935483870965,value
2025-05-23,260.0954193548387,value
2025-05-24,260.16148387096774,value
2025-05-25,260.22754838709676,value
2025-05-26,260.2936129032258,value
2025-05-27,260.35967741935485,value
2025-05-28,260.42574193548387,value
2025-05-29,260.4918064516129,value
2025-05-30,260.5578709677419,value
2025-05-31,260.623935483871,value
2025-06-01,260.69,value
2025-06-02,260.7524,value
2025-06-03,260.8148,value
2025-06-04,260.8772,value
2025-06-05,260.9396,value
2025-06-06,261.002,value
2025-06-07,261.0644,value
2025-06-08,261.1268,value
2025-06-09,261.1892,value
2025-06-10,261.2516,value
2025-06-11,261.314,value
2025-06-12,261.3764,value
2025-06-13,261.4388,value
2025-06-14,261.5012,value
2025-06-15,261.5636,value
2025-06-16,261.626,value
2025-06-17,261.6884,value
2025-06-18,261.7508,value
2025-06-19,261.8132,value
2025-06-20,261.8756,value
2025-06-21,261.938,value
2025-06-22,262.0004,value
2025-06-23,262.0628,value
2025-06-24,262.1252,value
2025-06-25,262.18760000000003,value
2025-06-26,262.25,value
2025-06-27,262.3124,value
2025-06-28,262.3748,value
2025-06-29,262.4372,value
2025-06-30,262.4996,value
2025-07-01,262.562,value
2025-07-02,262.5581612903226,value
2025-07-03,262.5543225806452,value
2025-07-04,262.55048387096775,value
2025-07-05,262.5466451612903,value
2025-07-06,262.54280645161293,value
2025-07-07,262.5389677419355,value
2025-07-08,262.53512903225806,value
2025-07-09,262.5312903225807,value
2025-07-10,262.52745161290323,value
2025-07-11,262.5236129032258,value
2025-07-12,262.5197741935484,value
2025-07-13,262.515935483871,value
2025-07-14,262.51209677419354,value
2025-07-15,262.50825806451616,value
2025-07-16,262.5044193548387,value
2025-07-17,262.5005806451613,value
2025-07-18,262.49674193548384,value
2025-07-19,262.49290322580646,value
2025-07-20,262.489064516129,value
2025-07-21,262.4852258064516,value
2025-07-22,262.4813870967742,value
2025-07-23,262.47754838709676,value
2025-07-24,262.4737096774193,value
2025-07-25,262.46987096774194,value
2025-07-26,262.4660322580645,value
2025-07-27,262.46219354838706,value
2025-07-28,262.4583548387097,value
2025-07-29,262.45451612903224,value
2025-07-30,262.4506774193548,value
2025-07-31,262.4468387096774,value
2025-08-01,262.443,value
