date,value,value
2025-03-20,722092.0967741936,value
2025-03-21,722066.8387096775,value
2025-03-22,722041.5806451613,value
2025-03-23,722016.3225806452,value
2025-03-24,721991.0645161291,value
2025-03-25,721965.8064516129,value
2025-03-26,721940.5483870967,value
2025-03-27,721915.2903225806,value
2025-03-28,721890.0322580645,value
2025-03-29,721864.7741935484,value
2025-03-30,721839.5161290322,value
2025-03-31,721814.2580645161,value
2025-04-01,721789.0,value
2025-04-02,721599.4,value
2025-04-03,721409.8,value
2025-04-04,721220.2,value
2025-04-05,721030.6,value
2025-04-06,720841.0,value
2025-04-07,720651.4,value
2025-04-08,720461.8,value
2025-04-09,720272.2,value
2025-04-10,720082.6,value
2025-04-11,719893.0,value
2025-04-12,719703.4,value
2025-04-13,719513.8,value
2025-04-14,719324.2,value
2025-04-15,719134.6,value
2025-04-16,718945.0,value
2025-04-17,718755.4,value
2025-04-18,718565.8,value
2025-04-19,718376.2,value
2025-04-20,718186.6,value
2025-04-21,717997.0,value
2025-04-22,717807.4,value
2025-04-23,717617.8,value
2025-04-24,717428.2,value
2025-04-25,717238.6,value
2025-04-26,717049.0,value
2025-04-27,716859.4,value
2025-04-28,716669.8,value
2025-04-29,716480.2,value
2025-04-30,716290.6,value
2025-05-01,716101.0,value
2025-05-02,716309.7096774194,value
2025-05-03,716518.4193548387,value
2025-05-04,716727.1290322581,value
2025-05-05,716935.8387096775,value
2025-05-06,717144.5483870967,value
2025-05-07,717353.2580645161,value
2025-05-08,717561.9677419355,value
2025-05-09,717770.6774193548,value
2025-05-10,717979.3870967742,value
2025-05-11,718188.0967741936,value
2025-05-12,718396.8064516129,value
2025-05-13,718605.5161290322,value
2025-05-14,718814.2258064516,value
2025-05-15,719022.9354838709,value
2025-05-16,719231.6451612903,value
2025-05-17,719440.3548387097,value
2025-05-18,719649.0645161291,value
2025-05-19,719857.7741935484,value
2025-05-20,720066.4838709678,value
2025-05-21,720275.1935483871,value
2025-05-22,720483.9032258064,value
2025-05-23,720692.6129032258,value
2025-05-24,720901.3225806452,value
2025-05-25,721110.0322580645,value
2025-05-26,721318.7419354839,value
2025-05-27,721527.4516129033,value
2025-05-28,721736.1612903225,value
2025-05-29,721944.8709677419,value
2025-05-30,722153.5806451613,value
2025-05-31,722362.2903225806,value
2025-06-01,722571.0,value
2025-06-02,722694.7333333333,value
2025-06-03,722818.4666666667,value
2025-06-04,722942.2,value
2025-06-05,723065.9333333333,value
2025-06-06,723189.6666666666,value
2025-06-07,723313.4,value
2025-06-08,723437.1333333333,value
2025-06-09,723560.8666666667,value
2025-06-10,723684.6,value
2025-06-11,723808.3333333334,value
2025-06-12,723932.0666666667,value
2025-06-13,724055.8,value
2025-06-14,724179.5333333333,value
2025-06-15,724303.2666666667,value
2025-06-16,724427.0,value
2025-06-17,724550.7333333333,value
2025-06-18,724674.4666666667,value
2025-06-19,724798.2,value
2025-06-20,724921.9333333333,value
2025-06-21,725045.6666666666,value
2025-06-22,725169.4,value
2025-06-23,725293.1333333333,value
2025-06-24,725416.8666666667,value
2025-06-25,725540.6,value
2025-06-26,725664.3333333334,value
2025-06-27,725788.0666666667,value
2025-06-28,725911.8,value
2025-06-29,726035.5333333333,value
2025-06-30,726159.2666666667,value
2025-07-01,726283.0,value
