OBJECTID,BASE_YEAR,SIGUNGU_CD,SIGUNGU_NM,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance,sigungu,gas_station_count
195,2015,36450,장성군,743,16174,21.76850606,18,13.41200237,6,63,57,6,8,58,179.8818076,장성군,2
196,2015,36460,완도군,639,6694,10.47574335,8,8.727967927,0,59,59,27,6,45,76.17742413,,0
197,2015,36470,진도군,661,6945,10.50680787,9,6.351673081,0,46,46,27,8,38,40.34375093,,0
198,2015,36480,신안군,1232,7371,5.982954545,6,5.418271311,0,59,59,24,5,33,29.357664,,0
199,2015,37011,포항시남구,578,17266,29.87197232,20,20.0875474,7,63,56,43,8,57,403.5095605,,0
200,2015,37012,포항시북구,1064,19996,18.79323308,10,17.32974407,5,63,58,46,6,58,300.3200294,,0
201,2015,37020,경주시,1901,47125,24.78958443,20,15.81095302,7,63,56,47,9,57,249.9862355,경주시,3
202,2015,37030,김천시,1445,26381,18.2567474,11,14.86650509,5,62,57,46,8,58,221.0129735,김천시,2
203,2015,37040,안동시,2209,29722,13.45495699,8,12.51226231,0,62,62,49,6,59,156.5567081,안동시,6
204,2015,37050,구미시,888,30623,34.48536036,30,18.86658379,7,63,56,41,62,57,355.9479839,구미시,8
205,2015,37060,영주시,984,16639,16.90955285,12,13.61688896,0,61,61,4,11,58,185.4196648,,0
206,2015,37070,영천시,1325,24959,18.83698113,14,13.59569266,5,62,57,37,9,58,184.8428588,영천시,9
207,2015,37080,상주시,1808,29237,16.17090708,12,11.30970366,0,62,62,62,8,59,127.909397,,0
208,2015,37090,문경시,1332,18904,14.19219219,10,11.39848782,0,60,60,55,8,57,129.9255246,,0
209,2015,37100,경산시,583,21412,36.72727273,35,19.09763828,8,63,55,37,62,56,364.7197879,경산시,2
210,2015,37310,군위군,870,11445,13.15517241,12,6.185453061,5,48,43,31,12,41,38.25982957,군위군,1
211,2015,37320,의성군,1701,19383,11.39506173,9,6.510450086,5,56,51,37,8,49,42.38596033,,0
212,2015,37330,청송군,1224,11900,9.722222222,8,5.934250009,0,41,41,32,7,37,35.21532317,,0
213,2015,37340,영양군,1193,6579,5.514668902,5,4.376458521,0,36,36,18,5,28,19.15338918,,0
214,2015,37350,영덕군,1085,12135,11.1843318,7,10.1371759,0,57,57,39,5,51,102.7623352,,0
215,2015,37360,청도군,988,17093,17.30060729,13,11.23108935,6,62,56,53,10,57,126.1373681,,0
216,2015,37370,고령군,547,12722,23.25776965,18,14.82380703,7,63,56,45,8,57,219.745255,,0
217,2015,37380,성주군,887,16679,18.80383315,16,11.38334129,5,60,55,42,8,54,129.5804588,,0
218,2015,37390,칠곡군,653,28079,43,44,14.28564428,12,63,51,12,62,51,204.0796325,칠곡군,10
219,2015,37400,예천군,964,11957,12.40352697,10,7.439801843,5,55,50,32,9,45,55.35065146,,0
220,2015,37410,봉화군,1748,15306,8.756292906,7,7.023667931,0,49,49,38,5,44,49.3319112,,0
221,2015,37420,울진군,1449,13963,9.636300897,6,11.41933423,0,61,61,44,0,57,130.4011943,,0
222,2015,37430,울릉군,114,2779,24.37719298,22,9.507513512,11,51,40,14,17,34,90.39281317,,0
223,2015,38030,진주시,1017,26032,25.59685349,19,17.41078424,8,63,55,51,9,56,303.135408,진주시,2
224,2015,38050,통영시,361,9064,25.10803324,16,19.38706102,0,62,62,23,10,57,375.8581349,통영시,1
225,2015,38060,사천시,585,15226,26.02735043,19,16.52325801,8,63,55,56,11,55,273.0180554,사천시,5
226,2015,38070,김해시,658,33572,51.0212766,56,12.61552706,18,63,45,22,62,46,159.151523,,0
227,2015,38080,밀양시,1149,25712,22.37771976,16,15.14576893,6,63,57,52,11,58,229.3943165,,0
228,2015,38090,거제시,597,18396,30.81407035,27,17.35269962,0,63,63,0,13,59,301.1161839,거제시,2
229,2015,38100,양산시,693,26716,38.55122655,39,16.95599225,9,63,54,9,62,55,287.5056731,,0
230,2015,38111,창원시의창구,300,15039,50.13,53,12.25913673,18,63,45,18,63,43,150.2864333,,0
231,2015,38112,창원시성산구,114,6904,60.56140351,62,4.841406001,42,63,21,42,63,17,23.43921207,,0
232,2015,38113,창원시마산합포구,359,11449,31.8913649,27,15.96991978,10,63,53,31,21,54,255.0383377,,0
233,2015,38114,창원시마산회원구,128,6953,54.3203125,60,11.66654779,19,63,44,19,63,34,136.1083374,,0
234,2015,38115,창원시진해구,184,10256,55.73913043,61,9.90868039,14,63,49,14,62,34,98.18194707,,0
235,2015,38310,의령군,687,10616,15.45269287,12,8.671441903,6,55,49,6,11,47,75.19390468,,0
236,2015,38320,함안군,600,21336,35.56,33,14.70214497,10,63,53,10,18,54,216.1530667,,0
237,2015,38330,창녕군,758,15826,20.87862797,16,12.79907822,6,63,57,46,10,56,163.8164034,,0
238,2015,38340,고성군,746,13782,18.47453083,14,11.49670754,7,61,54,44,9,53,132.1742843,,0
239,2015,38350,남해군,524,7404,14.12977099,13,6.181290345,6,48,42,24,13,36,38.20835033,,0
240,2015,38360,하동군,968,9938,10.26652893,7,8.227601421,0,44,44,42,5,42,67.69342514,,0
241,2015,38370,산청군,1132,11770,10.3975265,8,7.869469176,0,55,55,33,6,46,61.92854512,산청군,5
