OBJECTID,BASE_YEAR,SIGUNGU_CD,SIGUNGU_NM,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance,sigungu,gas_station_count
56,2015,23070,계양구,71,4443,62.57746478873239,63.0,0.4939627582183152,62,63,1,62,63,2,0.2439992065066457,,0
57,2015,23080,서구,195,12244,62.78974358974359,63.0,0.6258511626924773,58,63,5,58,63,4,0.3916896778435257,서구,23
58,2015,23310,강화군,624,20119,32.24198717948718,34.0,14.58718593447739,0,62,62,62,39,59,212.7859934870149,,0
59,2015,23320,옹진군,293,4479,15.28668941979522,12.0,12.17981294217076,0,50,50,20,0,44,148.3478433062704,,0
60,2015,24010,동구,68,3007,44.22058823529412,43.5,15.55242140049854,15,63,48,15,63,33,241.8778114186851,동구,28
61,2015,24020,서구,67,4133,61.6865671641791,63.0,2.660989352673398,50,63,13,50,63,11,7.080864335041192,서구,23
62,2015,24030,남구,86,4426,51.46511627906977,50.0,9.141901581255558,32,63,31,32,63,27,83.57436452136288,남구,8
63,2015,24040,북구,175,9093,51.96,61.0,15.97940102578496,13,63,50,13,63,41,255.3412571428575,북구,15
64,2015,24050,광산구,318,13955,43.88364779874214,46.5,17.11528565481059,14,63,49,14,62,49,292.9330030457652,광산구,19
65,2015,25010,동구,200,8030,40.15,38.5,16.0756803899555,11,63,52,11,62,51,258.4275,동구,28
66,2015,25020,중구,87,3731,42.88505747126437,48.0,18.00091012217388,18,63,45,23,62,34,324.0327652265821,,0
67,2015,25030,서구,138,6185,44.81884057971015,44.5,17.27158825859931,12,63,51,13,63,40,298.3077609745854,서구,23
68,2015,25040,유성구,256,14488,56.59375,61.0,8.343632957980594,29,63,34,32,63,32,69.6162109375,,0
69,2015,25050,대덕구,100,5177,51.77,60.0,13.35429144507488,14,63,49,14,61,35,178.3371,,0
70,2015,26010,중구,54,3325,61.57407407407408,63.0,3.106754003611724,50,63,13,50,63,10,9.651920438957474,,0
71,2015,26020,남구,109,6860,62.93577981651376,63.0,0.3653634449860527,60,63,3,60,63,4,0.1334904469320763,남구,8
72,2015,26030,동구,56,3394,60.60714285714285,62.5,3.533910073581845,51,63,12,52,63,13,12.48852040816324,동구,28
73,2015,26040,북구,224,11024,49.21428571428572,51.0,13.06025088048558,20,63,43,20,63,43,170.5701530612243,북구,15
74,2015,26310,울주군,1083,37225,34.37211449676823,31.0,17.66626694763236,6,63,57,7,63,58,312.0969878650073,,0
75,2015,29010,세종시,678,25698,37.90265486725664,37.0,13.69751044393503,12,61,49,12,27,50,187.6217923617092,,0
76,2015,31011,수원시장안구,48,2996,62.41666666666666,63.0,1.366768288904729,57,63,6,59,63,5,1.86805555555556,,0
77,2015,31012,수원시권선구,69,4347,63.0,63.0,0.0,63,63,0,63,63,1,0.0,,0
78,2015,31013,수원시팔달구,19,1197,63.0,63.0,0.0,63,63,0,63,63,1,0.0,,0
79,2015,31014,수원시영통구,42,2646,63.0,63.0,0.0,63,63,0,63,63,1,0.0,,0
80,2015,31021,성남시수정구,69,4315,62.53623188405797,63.0,0.8267223592435742,59,63,4,59,63,4,0.6834698592732613,,0
81,2015,31022,성남시중원구,38,2350,61.8421052631579,62.0,0.8437483969411259,60,63,3,60,61,4,0.7119113573407199,,0
82,2015,31023,성남시분당구,100,6275,62.75,63.0,0.49749371855331,61,63,2,61,63,3,0.2475,,0
83,2015,31030,의정부시,122,7406,60.70491803278689,62.0,3.980873379314377,39,63,24,45,62,13,15.84735286213387,,0
84,2015,31041,안양시만안구,53,3323,62.69811320754717,63.0,0.601410469830536,60,63,3,60,63,4,0.3616945532217861,,0
85,2015,31042,안양시동안구,33,2067,62.63636363636363,63.0,0.8813963377120603,59,63,4,59,63,4,0.7768595041322321,,0
86,2015,31051,부천시원미구,28,1764,63.0,63.0,0.0,63,63,0,63,63,1,0.0,,0
87,2015,31052,부천시소사구,19,1197,63.0,63.0,0.0,63,63,0,63,63,1,0.0,,0
88,2015,31053,부천시오정구,29,1827,63.0,63.0,0.0,63,63,0,63,63,1,0.0,,0
89,2015,31060,광명시,55,3461,62.92727272727273,63.0,0.2596883064924674,62,63,1,62,63,2,0.06743801652892568,,0
90,2015,31070,평택시,667,36395,54.56521739130435,59.0,9.815380721900643,21,63,42,21,62,43,96.3416987158588,,0
91,2015,31080,동두천시,144,7093,49.25694444444444,52.0,11.61162404170074,20,63,43,20,62,37,134.8298128858025,,0
92,2015,31091,안산시상록구,86,5364,62.37209302325581,62.0,0.6655389777327534,59,63,4,59,62,4,0.4429421308815584,,0
93,2015,31092,안산시단원구,154,7442,48.32467532467533,54.0,16.33889595408706,6,63,57,7,63,41,266.9595209984827,,0
94,2015,31101,고양시덕양구,241,14710,61.03734439834025,63.0,3.474067474157589,47,63,16,47,63,16,12.06914481499969,,0
95,2015,31103,고양시일산동구,90,5669,62.98888888888889,63.0,0.1048220125784067,62,63,1,62,63,2,0.01098765432098765,,0
96,2015,31104,고양시일산서구,62,3906,63.0,63.0,0.0,63,63,0,63,63,1,0.0,,0
97,2015,31110,과천시,53,3279,61.86792452830188,62.0,1.38778683384402,58,63,5,58,63,6,1.925952296190811,,0
98,2015,31120,구리시,47,2954,62.85106382978724,63.0,0.3560255432059901,62,63,1,62,63,2,0.1267541874151203,,0
99,2015,31130,남양주시,668,34890,52.23053892215569,56.0,10.5943506162022,18,63,45,18,62,43,112.2402649790238,,0
